objectid,cat,man,bran,year,circa,xd,gd,cd,td,s,storfor,omit,locbox,locbag,expos,backp,manid,branid,mansafe,bransafe,xdsafe,gdsafe,cdsafe,tdsafe,ssafe,backpsafe
278838750,1874,Forte,Polywarmtone,1990,1,Smooth,Semi Matte,White,Double Weight,[not specified],Not exposed - package sealed,0,37.0,A,,,http://www.wikidata.org/entity/Q11332875,,Forte,Polywarmtone,Smooth,Semi_Matte,White,Double_Weight,[not_specified],
2145802948,1992,Agfa Gevaert,Multicontrast Classic,1990,1,[texture unspecified],Glossy,White,Double Weight,111,Not exposed - package open,0,36.0,B,0.0,,http://viaf.org/viaf/122636463,,Agfa_Gevaert,Multicontrast_Classic,[texture_unspecified],Glossy,White,Double_Weight,111,
1438975318,1995,Forte,Polywarmtone,1990,1,Smooth,Semi Matte,White,Double Weight,[not specified],Not exposed - package open,0,36.0,B,,,http://www.wikidata.org/entity/Q11332875,,Forte,Polywarmtone,Smooth,Semi_Matte,White,Double_Weight,[not_specified],
1880065706,1998,Agfa Gevaert,Multicontrast Highspeed,1990,1,[texture unspecified],Glossy,[base color unspecified],Medium Weight,310,Not exposed - package open,0,42.0,B,,,http://viaf.org/viaf/122636463,,Agfa_Gevaert,Multicontrast_Highspeed,[texture_unspecified],Glossy,[base_color_unspecified],Medium_Weight,310,
2117560289,1999,Agfa Gevaert,Multicontrast Classic,1990,1,Fine Grained,Matte,[base color unspecified],Double Weight,118,Not exposed - package sealed,0,42.0,B,,,http://viaf.org/viaf/122636463,,Agfa_Gevaert,Multicontrast_Classic,Fine_Grained,Matte,[base_color_unspecified],Double_Weight,118,
1098898867,2036,Agfa Gevaert,Multicontrast Classic,1990,1,[texture unspecified],Glossy,[base color unspecified],Double Weight,111,Not exposed - package open,0,43.0,A,,,http://viaf.org/viaf/122636463,,Agfa_Gevaert,Multicontrast_Classic,[texture_unspecified],Glossy,[base_color_unspecified],Double_Weight,111,
1780646616,2051,Agfa Gevaert,Multicontrast Premium,1990,1,[texture unspecified],Glossy,[base color unspecified],Medium Weight,310,Not exposed - package open,0,43.0,A,,,http://viaf.org/viaf/122636463,,Agfa_Gevaert,Multicontrast_Premium,[texture_unspecified],Glossy,[base_color_unspecified],Medium_Weight,310,
1456324393,2061,Kodak,Ektalure,1990,1,Fine Grained,Luster,Cream White,Double Weight,G,Not exposed - package open,0,42.0,A,,,http://www.wikidata.org/entity/Q486269,,Kodak,Ektalure,Fine_Grained,Luster,Cream_White,Double_Weight,G,
651595724,2062,Agfa Gevaert,Multicontrast Classic,1990,1,Fine Grained,Matte,White,Double Weight,118,Not exposed - package sealed,0,43.0,A,,,http://viaf.org/viaf/122636463,,Agfa_Gevaert,Multicontrast_Classic,Fine_Grained,Matte,White,Double_Weight,118,
1184855024,2063,Agfa Gevaert,Multicontrast Classic,1990,1,Fine Grained,Matte,White,Double Weight,118,Not exposed - package open,0,43.0,A,,,http://viaf.org/viaf/122636463,,Agfa_Gevaert,Multicontrast_Classic,Fine_Grained,Matte,White,Double_Weight,118,
1652271834,2064,Agfa Gevaert,Multicontrast Classic,1990,1,Fine Grained,Matte,White,Double Weight,118,Not exposed - package open,0,42.0,A,,,http://viaf.org/viaf/122636463,,Agfa_Gevaert,Multicontrast_Classic,Fine_Grained,Matte,White,Double_Weight,118,
1606214739,2065,Agfa Gevaert,Multicontrast Premium,1990,0,[texture unspecified],Semi Matte,[base color unspecified],Medium Weight,312,Not exposed - package open,0,42.0,A,,,http://viaf.org/viaf/122636463,,Agfa_Gevaert,Multicontrast_Premium,[texture_unspecified],Semi_Matte,[base_color_unspecified],Medium_Weight,312,
1058452632,2066,Agfa Gevaert,Multicontrast Classic,1990,1,Fine Grained,Matte,White,Double Weight,118,Not exposed - package sealed,0,42.0,A,,,http://viaf.org/viaf/122636463,,Agfa_Gevaert,Multicontrast_Classic,Fine_Grained,Matte,White,Double_Weight,118,
386370998,2499,Agfa Gevaert,Multicontrast Premium,1990,1,[texture unspecified],Glossy,[base color unspecified],Medium Weight,310,Not exposed - package sealed,0,51.0,C,,,http://viaf.org/viaf/122636463,,Agfa_Gevaert,Multicontrast_Premium,[texture_unspecified],Glossy,[base_color_unspecified],Medium_Weight,310,
811059171,2624,Ilford,Multigrade III,1990,1,[texture unspecified],Glossy,[base color unspecified],Medium Weight,1M,Not exposed - package open,0,50.0,A,,,http://viaf.org/viaf/131332975,,Ilford,Multigrade_III,[texture_unspecified],Glossy,[base_color_unspecified],Medium_Weight,1M,
1206403319,2971,Forte,Fortezo,1990,1,Smooth,Semi Matte,White,Double Weight,3,Not exposed - package open,0,56.0,A,,,http://www.wikidata.org/entity/Q11332875,,Forte,Fortezo,Smooth,Semi_Matte,White,Double_Weight,3,
1391858744,2974,Forte,Polygrade ,1990,1,Smooth,Glossy,White,Double Weight,[not specified],Not exposed - package open,0,56.0,A,,,http://www.wikidata.org/entity/Q11332875,,Forte,Polygrade,Smooth,Glossy,White,Double_Weight,[not_specified],
1184335531,2975,Forte,Fortezo,1990,1,[texture unspecified],Glossy,[base color unspecified],Double Weight,[not specified],Not exposed - package open,0,56.0,C,,,http://www.wikidata.org/entity/Q11332875,,Forte,Fortezo,[texture_unspecified],Glossy,[base_color_unspecified],Double_Weight,[not_specified],
819067875,2979,Agfa Gevaert,Multicontrast Classic,1990,1,Fine Grained,Matte,White,Double Weight,118,Not exposed - package open,0,56.0,A,,,http://viaf.org/viaf/122636463,,Agfa_Gevaert,Multicontrast_Classic,Fine_Grained,Matte,White,Double_Weight,118,
144011465,2980,Agfa Gevaert,Multicontrast,1990,1,Fine Grained,Matte,White,Double Weight,118,Not exposed - package open,0,56.0,A,,,http://viaf.org/viaf/122636463,,Agfa_Gevaert,Multicontrast,Fine_Grained,Matte,White,Double_Weight,118,
609929247,2981,Agfa Gevaert,Multicontrast,1990,1,[texture unspecified],Glossy,White,Double Weight,111,Not exposed - package open,0,56.0,A,,,http://viaf.org/viaf/122636463,,Agfa_Gevaert,Multicontrast,[texture_unspecified],Glossy,White,Double_Weight,111,
388519983,2985,Ilford,Multigrade ,1990,1,[texture unspecified],Glossy,[base color unspecified],Double Weight,1K,Not exposed - package open,0,56.0,B,,,http://viaf.org/viaf/131332975,,Ilford,Multigrade,[texture_unspecified],Glossy,[base_color_unspecified],Double_Weight,1K,
101092732,3000,Ilford,Ilfospeed,1990,1,[texture unspecified],Semi Matte,[base color unspecified],Medium Weight,24M,Not exposed - package open,0,57.0,C,,,http://viaf.org/viaf/131332975,,Ilford,Ilfospeed,[texture_unspecified],Semi_Matte,[base_color_unspecified],Medium_Weight,24M,
706003082,3025,Agfa Gevaert,Multicontrast,1990,1,[texture unspecified],Glossy,White,Double Weight,111,Not exposed - package open,0,58.0,B,,,http://viaf.org/viaf/122636463,,Agfa_Gevaert,Multicontrast,[texture_unspecified],Glossy,White,Double_Weight,111,
1765070480,3148,Agfa Gevaert,Multicontrast Highspeed,1990,1,[texture unspecified],Glossy,[base color unspecified],Medium Weight,310,Not exposed - package open,0,59.0,B,,,http://viaf.org/viaf/122636463,,Agfa_Gevaert,Multicontrast_Highspeed,[texture_unspecified],Glossy,[base_color_unspecified],Medium_Weight,310,
