"PhotoID","Year","DateUncertain","Catalog Number","Secondary Catalog Number","Manufacturer","Brand","Format","Texture2","Reflectance2","BaseColor2","Weight2","SurfaceDesignation2","Omit_from_Paperbase","LocationBox","LocationBag","Exposure","BackprintingPrimary","ProcessName","Link","AATA_ID"
-1737532576,"1960",1,4786,"s","Gevaert","Gevatone","Sample book","Smooth","Semi Matte","Cream","Double Weight","K7",0,11,"20",21,,"	gelatin silver process","#http://vocab.getty.edu/page/aat/300139114#","300139114"
-810856479,"1960",1,4786,"t","Gevaert","Gevatone","Sample book","[texture unspecified]","Super Matte","White","Double Weight","K28",0,11,"20",22,,"	gelatin silver process","#http://vocab.getty.edu/page/aat/300139114#","300139114"
-1105121138,"1960",1,4786,"u","Gevaert","Gevatone","Sample book","[texture unspecified]","Super Matte","Cream","Double Weight","K29",0,11,"20",23,,"	gelatin silver process","#http://vocab.getty.edu/page/aat/300139114#","300139114"
452271351,"1960",1,4786,"v","Gevaert","Gevatone","Sample book","Silk","Semi Matte","White","Double Weight","K36",0,11,"20",24,,"	gelatin silver process","#http://vocab.getty.edu/page/aat/300139114#","300139114"
-1612971668,"1960",1,4786,"w","Gevaert","Gevatone","Sample book","Grained","Semi Matte","White","Double Weight","K48",0,11,"20",25,,"	gelatin silver process","#http://vocab.getty.edu/page/aat/300139114#","300139114"
32720893,"1960",1,4786,"x","Gevaert","Gevatone","Sample book","Grained","Semi Matte","Cream","Double Weight","K49",0,11,"20",26,,"	gelatin silver process","#http://vocab.getty.edu/page/aat/300139114#","300139114"
-1196362374,"1960",1,4786,"y","Gevaert","Ortho-Brom","Sample book","[texture unspecified]","Glossy","White","Single Weight","8",0,11,"20",27,"G04","	gelatin silver process","#http://vocab.getty.edu/page/aat/300139114#","300139114"
-265895309,"1960",0,4786,"z","Gevaert","Ortho-Brom","Sample book","Smooth","Matte","White","Double Weight","K1",0,11,"20",28,,"	gelatin silver process","#http://vocab.getty.edu/page/aat/300139114#","300139114"
-132365777,"1960",1,4808,,"Ansco","Scona Reflex","Not exposed - package open","[texture unspecified]","Semi Matte","[base color unspecified]","Light Weight","[not specified]",0,100,"A",,,"	gelatin silver process","#http://vocab.getty.edu/page/aat/300139114#","300139114"
1640388102,"1960",1,4836,,"Agfa","Brovira","Not exposed - package open","[texture unspecified]","Glossy","Cream","Single Weight","21",0,100,"C",,"A07","	gelatin silver process","#http://vocab.getty.edu/page/aat/300139114#","300139114"
16197968,"1960",1,4881,"a","Agfa","Brovira","Sample book","[texture unspecified]","Glossy","White","Single Weight","1",0,4,"20",3,"A03","	gelatin silver process","#http://vocab.getty.edu/page/aat/300139114#","300139114"
2145794844,"1960",1,4881,"b","Agfa","Brovira","Sample book","Fine Grained","Luster","White","Single Weight","2a",0,4,"20",4,"A05","	gelatin silver process","#http://vocab.getty.edu/page/aat/300139114#","300139114"
2145794845,"1960",1,4881,"c","Agfa","Brovira","Sample book","[texture unspecified]","Glossy","White","Double Weight","111",0,4,"20",5,"A03","	gelatin silver process","#http://vocab.getty.edu/page/aat/300139114#","300139114"
